Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,15.3931,15.5424,15.2577,15.4304,126312615,45.6372,46.6015,45.4859,45.9775,31735422,153.9059,156.7167,153.6818,155.4374,4291928,49.7172,50.4906,49.559,49.9369,18599829,27.5486,28.0748,27.4306,27.9478,14171408,39.8851,40.3609,39.8072,40.1619,16349402
2014-03-03,15.2157,15.3184,15.113,15.2157,87613440,45.1928,45.6182,44.9564,45.0132,28678018,153.3549,154.3728,152.832,153.8405,3122876,49.4799,49.5854,48.9438,49.4008,19150953,27.4397,27.6211,27.1584,27.4578,11543242,39.8937,40.0062,39.7639,39.9283,16067568
2014-03-04,15.3837,15.6264,15.337,15.6171,101701851,45.6939,46.2895,45.5142,46.1666,23956058,155.6148,157.5946,155.2039,157.5665,3453120,50.0511,50.4115,49.7787,50.3236,17174334,27.8934,28.2835,27.8117,28.22,11178954,40.4215,40.4907,40.1706,40.4388,14951272
2014-03-05,15.6825,16.1682,15.6731,16.1121,207621573,46.3652,47.1972,46.2894,46.7244,23628360,157.6319,161.4607,157.1184,160.5268,4465314,50.5169,51.2288,50.4115,51.1146,17762232,28.2291,29.073,28.0113,29.0095,14828813,40.508,40.8627,40.3929,40.7416,13660688
2014-03-06,16.2709,16.4679,16.1682,16.2055,138302215,47.1782,47.4524,46.9702,46.9986,26975414,161.2832,162.4879,161.0778,161.1805,3408257,51.4222,51.9279,51.3255,51.7649,19430068,29.082,29.2817,28.8733,28.8915,12623645,40.9146,41.0963,40.8108,40.9579,14726410
2014-03-07,16.383,16.4297,16.108,16.1869,109771403,47.4713,47.6604,46.6772,46.9135,25784426,162.4692,163.9727,161.6568,162.7307,4095634,52.1604,52.5559,51.9143,52.2044,18615141,29.6719,29.6809,29.1002,29.2272,14547381,41.3213,41.9442,41.1828,41.4857,20512670
2014-03-10,16.1308,16.3176,16.1121,16.3176,81974096,46.4786,46.9041,46.403,46.8662,15398387,162.1143,162.9448,161.0591,162.0303,2191673,51.9759,52.2747,51.7342,52.0286,16965386,29.2363,29.3089,28.8189,29.1546,10757263,41.4424,41.7668,41.1655,41.6587,11860395
2014-03-11,16.355,16.3643,16.1121,16.1308,90642730,47.0648,47.1026,45.7601,45.7884,33264192,162.4505,162.4505,158.6124,158.6498,3837217,52.2219,52.2483,51.0882,51.1409,19436589,29.2363,29.2635,28.6919,28.7645,9202969,41.8231,41.8404,41.2867,41.3645,13430875
2014-03-12,16.0467,16.1869,15.944,16.1401,83501627,45.4953,45.5142,45.1551,45.363,25861551,157.9401,158.7432,156.7074,158.491,2565816,50.7103,50.9388,50.4642,50.9036,17937197,28.5648,28.6011,28.2835,28.5285,8308341,41.2694,41.6414,41.1482,41.6327,13505134
2014-03-13,16.1962,16.3176,15.944,16.0281,100875677,45.5426,45.6608,44.5026,44.7484,38925373,159.2008,159.9095,155.5495,155.6709,3421385,50.974,51.2728,50.2621,50.4642,17192490,28.6193,29.0276,28.338,28.5285,22439666,41.7279,41.7885,41.304,41.3905,14813888
2014-03-14,15.9533,16.0841,15.6544,15.6918,131297215,44.7862,45.2117,44.2379,44.323,26135925,155.8576,156.3199,154.1113,154.4102,2762052,50.1918,50.5609,49.7611,49.9193,18635842,28.4106,28.7009,28.1293,28.22,10855891,41.1742,41.5895,40.8973,41.0098,15347268
2014-03-17,15.8599,16.0374,15.8506,15.9814,79942183,44.8808,45.1928,44.7295,45.1266,18929683,155.372,157.6319,155.3253,155.8016,3207398,50.2797,50.7103,50.139,50.6048,13589185,28.465,28.8009,28.4015,28.465,6891091,41.2694,41.676,41.1655,41.6414,11085701
2014-03-18,16.0094,16.0841,15.944,16.0561,67402402,45.1455,45.5142,44.9092,45.5142,19517186,156.2031,157.8187,155.9603,156.9689,1941251,50.8158,51.1146,50.64,51.0267,12554754,28.4922,28.7735,28.4423,28.7191,6614854,41.676,41.9183,41.6327,41.875,9757390
2014-03-19,16.0281,16.3363,15.9907,16.2896,105006477,45.5899,46.8191,45.4008,46.2706,30308826,157.3424,158.9019,155.7642,157.0529,3534103,50.9652,51.7913,50.8773,51.2376,21450652,28.7191,29.1002,28.4832,28.8643,9470327,41.8577,41.8836,41.079,41.3645,28292983
2014-03-20,16.2896,16.8127,16.2803,16.7379,167048671,46.6015,47.7077,46.3368,47.4808,33885644,156.7728,159.1727,156.2031,158.0241,3950521,51.2903,53.1623,51.0882,52.8284,33736470,28.9822,30.0348,28.7554,29.7535,20199764,41.2694,42.7056,41.2694,42.4201,25208403
2014-03-21,16.8407,16.8407,16.4017,16.4017,156026291,48.2182,48.2182,47.1404,47.3484,38406929,158.463,158.7525,155.867,155.9043,4795425,53.5754,53.7863,52.7317,52.8811,35151970,30.1528,30.1709,29.3724,29.5811,23503898,43.0776,43.2333,42.4287,42.4979,31046062
2014-03-24,16.4577,16.4857,16.1588,16.2242,118499989,47.4619,47.8873,47.0648,47.3201,21170311,156.0724,156.8662,154.1767,154.7557,2722989,53.0569,53.7775,53.0393,53.6721,25810459,29.6991,29.7172,29.1909,29.4359,10400085,42.8094,42.818,42.2384,42.3768,19677616
2014-03-25,16.3363,16.4204,16.0654,16.0748,98348557,47.4713,47.8023,47.3201,47.5564,17486616,155.5681,156.3432,152.0289,152.4491,4437493,53.7072,54.0324,53.2238,53.549,24053467,29.5539,29.5539,28.6374,28.6646,12610322,42.6104,42.6277,42.3162,42.3595,14659355
2014-03-26,16.2336,16.2522,16.0467,16.0467,97573715,47.7739,47.8212,46.9655,47.4241,36784712,153.8405,154.0833,151.0203,151.0297,2597634,53.8215,53.9621,52.635,52.6438,22745202,28.9006,29.0095,28.3198,28.3289,11233797,42.5585,42.5671,41.9269,41.9615,17399843
2014-03-27,16.1401,16.3363,15.7198,15.888,175139455,44.843,45.571,44.5404,44.8619,112601033,151.095,152.5051,150.1332,151.5526,3890239,52.6789,53.215,51.8704,52.6614,24632614,28.2563,28.5376,27.7573,28.0385,13638426,42.8354,43.0776,42.0913,42.4806,29075059
2014-03-28,15.958,16.0187,15.7385,15.8599,79909509,45.1172,45.1455,44.4648,44.6728,39796005,151.4779,153.3269,150.6188,151.562,2630486,52.9162,53.2502,52.4504,52.7668,14708741,28.0748,28.5013,27.8934,28.0476,8081149,42.5152,42.924,42.4374,42.645,15008037
2014-03-31,16.0187,16.1308,15.9907,16.0654,62115774,44.9375,45.2872,44.8808,45.0037,25651026,152.4211,153.2802,151.4873,153.0094,2494292,53.4611,53.6237,53.259,53.3557,15216691,28.2926,28.5467,28.1021,28.2835,9421645,43.043,43.1814,42.7921,43.0343,17901782
2014-04-01,16.1401,16.2522,16.1215,16.1962,57423776,45.1172,45.6182,45.051,45.1928,26813780,153.8592,155.288,153.3549,154.9425,3325853,53.5666,53.8654,53.0569,53.3205,14586580,28.465,28.4922,28.1293,28.3198,11583595,43.1555,43.1987,42.8267,43.0603,16398766
2014-04-02,16.2055,16.2336,16.0,16.0935,65285679,45.5237,45.7222,45.1266,45.6088,22347051,154.9238,156.4553,154.7604,156.2031,2407076,53.3912,53.745,53.2409,53.4885,14010233,28.3289,28.6646,28.1474,28.5013,14699769,43.0603,43.1555,42.8354,43.0517,13035427
2014-04-03,16.0748,16.1028,15.9066,16.0187,56534512,45.3252,45.3819,44.7862,45.0793,29237080,156.2405,156.5767,154.0833,155.1012,2337292,53.6389,53.7715,53.3116,53.6477,11925208,28.5558,28.5648,27.8661,28.0839,10064709,43.0949,43.1641,42.8786,43.1122,9598908
2014-04-04,16.0748,16.0841,15.5984,15.6171,110409594,45.1266,45.1833,44.2946,44.5404,33010005,155.9603,155.9884,152.0756,152.4398,3267440,53.9661,54.0015,52.8871,52.896,16966909,28.2654,28.3652,27.544,27.5576,12750965,43.3026,43.6832,42.8786,42.8786,18702386
2014-04-07,15.5891,15.5984,15.1221,15.2995,129464876,44.5499,44.5972,43.7652,44.011,30154162,152.169,152.4024,147.9527,148.0694,4650839,52.7899,53.064,52.0381,52.1796,18685680,27.5395,27.5685,26.3962,26.7863,20367328,42.8959,42.9738,42.0913,42.0999,19653743
2014-04-08,15.2902,15.4116,15.1781,15.3556,75769671,43.9921,44.2946,43.6044,44.0582,26880730,148.2001,148.2562,145.1932,146.2017,6844255,52.0027,52.1973,51.5163,52.047,16956476,26.8499,26.8862,26.4052,26.7954,13228592,42.0999,42.3935,41.9096,42.247,19086946
2014-04-09,15.4583,15.533,15.2668,15.5237,83096413,44.2284,44.6161,43.7935,44.5877,22380106,146.7153,148.4803,146.071,147.6959,4009981,52.2681,52.5776,51.733,52.4184,15308441,26.9769,27.485,26.9043,27.4215,10692715,42.4547,42.4806,42.0567,42.4806,15928089
2014-04-10,15.5237,15.5237,15.038,15.0567,98390934,44.6633,44.6917,43.6044,43.7084,27169989,147.9293,148.3682,145.5014,145.6601,4806565,52.4892,52.5245,50.7469,50.7646,29977179,27.4669,27.476,26.4688,26.5413,13452408,42.5844,42.5844,41.278,41.278,24910814
